Scenar,,Blok,LongText1,Headline1,Headline2,READING TOTAL,Feedback,Transition DO riadka,Playout,Hlasitost v %,,,,Kody tlacidiel deck,,Pocasie,Teploty,Ikonky,Automaticky nacitane,09.15. 20:27,tempba,temptt,tempnr,temptn,tempza,tempbb,temppo,tempke,text9,text10,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8
backup starych sprav,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"No a na záver ešte jeden tip od nás. Kozmetička v dozornej rade vraj spĺňala zákonné podmienky na funkciu, tvrdí ministerka hospodárstva Denisa Saková v reportáži Adela Ghannama. Zároveň však hovorí, že spravila príslušné opatrenia, aby sa to v budúcnosti už nestalo. Vyjadrila sa ak k rozhodnutiu premiéra prevziať rezortu hospodárstva odkúpenie spoločnosti ČEZ.",Sledujte na www.360tka.sk,,363,,OUTRO,ILU AVIZO SAKOVA,,SYN frecer.mp4,,,18/2/5,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/document/d/1aGeOstYLM4PPF8rd8UwlClC2E_oideFLsd_JDd3oV4Q/edit?usp=sharing,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"Saková:
“Ja absolútne rešpektujem rozhodnutie pána premiéra, kedy povedal, že ministerstvo hospodárstva berie všetky kompetencie. Nevedeli sme, ako ja, ministerstvo hospodárstva a ministerka hospodárstva úplne s tou navrhovanou cenou súhlasiť.
Šipoš:
“Úlohou ministerky hospodárstva je chrániť ekonomický záujem Slovenska, neústupovať premiérovi Ficovi, ktorí chce urobiť obchod za každú cenu.”",,,,,,SYN AVIZO,,SYN AVIZO NOVE.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"Celú reportáž nájdete na našom webe. A to je na dnes všetko, dovidenia opäť zajtra.",Sledujte na www.360tka.sk,,,,,ILU AVIZO SAKOVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"Ústavný súd odmietol sťažnosť Mariána Kočnera, ktorý tvrdí, že Najvyšší súd nerozhodol dostatočne rýchlo o jeho žiadosti o prepustenie z väzenia. Podľa Ústavného súdu je sťažnosť zjavne neopodstatnená.
bol viac ako 30 rokov dňom pracovného pokoja. Vláda to však vlani zrušila v rámci konsolidačných opatrení a 15. septembra sa tento rok pracovalo. Podľa opozície to spôsobilo veľké komplikaćie pre zamestnávateľov, keďže vláda dnešok ponechala ako sviatok, čo znamená 100-percentné príplatky pre zamestnancov.",Ústavný súd nevyhovel Kočnerovi,,,,,ILU KOCNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spravy citacka edit,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"“Školy fungujú, ale samozrejme, že učitelia musia mať stopercentný príplatok. Školy peniaze nedostali na tento stopercentný príplatok. Toto isté sa deje aj v zdravotníctve. Je to jeden chaos a jeden bordel.”",Branislav Gröhling,predseda SaS,,,,SYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spravy citacka do citacky,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,"Opozícia zároveň pripomína, že rovnaký problém bol aj 8. mája na Deň víťazstva nad Fašizmom. Vláda aj tu v rámci konsolidácie zrušila pracovné voľno.
Celonárodná púť Slovenska k patrónke Slovenska – Sedembolestnej Panne Márii
Žilinka reaguje na Smerákov, Kuffa nemá ministerský post istý a Poliaci posielajú Putinovi odkaz
14. 9. 2026",Podobné to bolo 8. 5.,,,,,ILU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Voľba nového generálneho prokurátora ešte v tomto volebnom období? Politici Smeru hovoria o dobrom nápade. Čo na to Maroš Žilinka?,Voľba nového,generálneho prokurátora,,,,HEADLINE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Hľadá sa nový minister životného prostredia. SNS trvá na svojom nominantovi - pre Smer to až také jasné nie je.,Kto nahradí,T. Tarabu,,,,HEADLINE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Európa je pobúrená. Dvaja expremiéri aj bývalý šéf CIA tesne unikli ruskému útoku pri poľských hraniciach.,Európa reaguje,na útok pri Poľsku,,,,HEADLINE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INTRO,,Gabriela Kajtárová,,,,,Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kaliňák voľba GP,Dobrý večer. Mohla by nového generálneho prokurátora zvoliť ešte táto koalícia? Podľa niektorých politikov Smeru by to bol dobrý nápad. Funkčné obdobie Maroša Žilinku sa pritom končí až pár mesiacov po voľbách,Vláda chce voliť nového GP,,,,,ILU GLUCK ZILINKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kaliňák voľba GP,"Denisa:
“Či by ste boli za to, aby sa nový generálny prokurátor volil ešte pred voľbami?”
Gluck:
“Rozhodne áno.”
Žilinka:
“Máme tu dlhodobo neobsadený post sudcu na ústavnom súde, dokonca teraz sú už tie miesta dve. Pripadla mi také zvláštne, že by sa mal voliť generálny prokurátor, ktorý je legitimne obsadený.”
Šipoš:
“Potrebujú tam dosadiť svojho človeka, ktorý ich bude chrániť na ďalších 7 rokov.”
Kaliňák:
“Nevolí sa kandidát po skončení mandátu, mal by sa predtým. Čiže je to téma. Len sa na to musí byť väčšina zhodnúť.”",,,,,,SYN CLUSTER GP 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taraboviny,"Už zajtra by mal premiér Robert Fico poslať prezidentovi návrh na výmenu ministra životného prostredia. SNS ráta s tým, že Tomáša Tarabu nahradí štátny tajomník Filip Kuffa.",Nový minister životného prostredia,,,,,ILU TARABA KUFFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taraboviny,"Denisa:
“Ako by sa vám pozdával pán Kufa ako nový minister životného prostredia?”
Kaliňák:
“To nie je téma a zase sme na hypotetických otázkach, také meno nepadlo.”
Denisa:
“Áno, oni to stále hovoria, že to je ich kandidát.”
Kaliňák:
“Myslím si, že neviem o tom.”
Michelko:
“To už naozaj nechápem, lebo bolo to v všetkých možných médiách.
Denisa:
“Pán Kufa to teda podľa vás nebude?
Kaliňák:
“Ja nepredpokladám, preto ktorým čo som ja mal takého informácie, takto z verejnosti, ktoré sa hovoria, tak nie je úplne, by som povedal, priechodným kandidátom.”
Michelko:
“Dikcia ústavy je tak napísaná, že si neviem predstaviť, že by toto mohlo byť spochybnené.”
Gašpar:
“Je zbytočné teraz hodnotiť pána Kuffu, keď to možno vôbec nebude nominácia na pána Kuffu.”",,,,,,SYN CLUSTER KUFFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taraboviny,"Samotný Tomáš Tarba hovorí, že bude autonónmny poslanec a naznačuje, že by mohol mať aj spojencov - napríklad nezaradeného exposlanca Hlasu Jána Ferenčáka či súčasného poslanca Hlasu Petra Slyška.",Plány T. Tarabu,,,,,ILU TARABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""=TEXTJOIN(CHAR(10), TRUE, ARRAYFORMULA(F2:F & CHAR(10) & C2:C & CHAR(10) & ""#######""))""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
